opis;klasa
"temat: dzikie wysypiska
dzielnica: krzyki
opis miejsca: dzialka nr 026401_1.0022.ar_42.4/64 (teren po kolejowy)
opis: dzien dobry
bardzo prosze o interwencje w sprawie dzikiego wysypiska smieci na dzialce nr 026401_1.0022.ar_42.4/64 (teren po kolejowy)
smieci te zagrazaja bezpieczenstwu mieszkancow okolicznych osiedli. sa niezabezpieczone i ciagle ich przybywa.
wnosze o pilna interwencje i zabezpieczenie terenu.
sprawa wielokrotnie byla zglaszana na policje i odpowiednie sluzby.
w zalaczeniu przesylam dokumentacje fotograficzna i mape z zaznaczonymi miejscami.";Sprzatanie miasta
"kategoria: mobi, smieci do usuniecia
osoba zglaszajaca: mieszkaniec anonimowy
ulica: opolska 107
zgloszenie: z-5765057-j1b7f4";Sprzatanie miasta
"temat: brak worka na odpady
odpady: odpady zielone
pojemniki: worek 120l
opis: w dniu 13-03-2018 wystawionych bylo do zabrania 7 workow z odpadami zielonymi.
zostaly odebrane jednak w zamian pozostawiono jedynie 3 puste worki. bardzo prosze o pilne uzupelnienie. rozpoczyna sie sezon prac ogrodkowych wiec beda bardzo potrzebne.
pozdrawiam
piotr podgorski";Pojemniki/worki na odpady
prosze o dostarczenie 200 sztuk workow na odpady zielone do szkoly podstawowej nr 97 ul. prosta 16. prosze o realizacje zgloszenia.;Pojemniki/worki na odpady
"temat: tereny zewnetrzne - inne
dzielnica: fabryczna
opis miejsca: dzikie wysypisko smieci ciagnie sie od wysokosci ul kozia 18 w kierunku brodzka/lubelska (trzeba isc wydeptana sciezka). dokladna lokalizacja zostala zaznaczona na mapie w zalaczniku.
opis: smieci zarowno bytowe jak i przemyslowe porozrzucane wzdluz przedeptu (zalacznik 1,2,3).";Sprzatanie miasta
prosze o zamiane worka na tworzywa sztuczne na pojemnik o poj. 120l ul. grzybowa 2. prosze o realizacje zgloszenia i dostarczenie 10 sztuk workow na plastik.;Pojemniki/worki na odpady
"temat: mycie pojemnika
odpady: zmieszane odpady komunalne
pojemniki: pojemnik 1100l
opis: prosze o umycie pojemnikow ktore stoja w komorze smietnikowej";Pojemniki/worki na odpady
"witam serdecznie,
zwracam sie z wnioskiem o dokladne sprzatniecie terenu przystanku
autobusowego przy ul. obornickiej na wysokosci nr 99 w kierunku
zajezdni mpk.
teren przystanku znajduje sie w bezposrednim sasiedztwie trawnikow,
ktore to sa zasypane niedopalkami pasazerow mpk. teren ten nalezaloby
wygrabic i wyczyscic.
w zalaczeniu przesylam zdjecie.
bardzo prosze o przekazanie informacji zwrotnej na adres e-mailowy
joanna.kus100@gmail.com";Sprzatanie miasta
"temat: zabranie pojemnika z nieruchomosci
odpady: odpady ze szkla
pojemniki: pojemnik120l
opis: prosze o zabranie pojemnika na szklo 120l 1 szt., pojemnika na odpady zmieszane 60l 1 szt. , pojemnika na papier 120l 1 szt.  w zwiazku z zakonczeniem prowadzenia dzialalnosci gospodarczej pod tym adresem.";Pojemniki/worki na odpady
ponowne zgloszenie dotyczy nie odebranych od miesiaca lutego choinek, ktore znajduja sie w oslonie smietnikowej ul. wm oficerska 12. prosze o realizacje zgloszenia w dniu dzisiejszym. tel.509602201;Wywoz odpadow
prosze o dostarczenie pojemnika na papier o poj. 120l ul. dygata 14. prosze o realizacje zgloszenia.;Pojemniki/worki na odpady
"temat: inne
opis miejsca: wasze menu rozwijane czy jakkolwiek sie to nazywa z wyborem ulic, czy to tutaj w formularzu czy ze strony
http://ekosystem.wroc.pl/gospodarowanie-odpadami/harmonogram-wywozu-odpadow/
zawiesza komputery. jest to zle napisane, po probie wybrania ulicy zanim wszystko przemieli to komputer wisi kilka minut.. radzilbym to poprawic.
opis: wasze menu rozwijane czy jakkolwiek sie to nazywa z wyborem ulic, czy to tutaj w formularzu czy ze strony
http://ekosystem.wroc.pl/gospodarowanie-odpadami/harmonogram-wywozu-odpadow/
zawiesza komputery. jest to zle napisane, po probie wybrania ulicy zanim wszystko przemieli to komputer wisi kilka minut.. radzilbym to poprawic.";Inne
prosze o zamiane pojemnikow na papier i plastik na worki ul. al roz 19a tel. 694723375. prosze o realizacje zgloszenia  i dostarczenie po 10 sztuk workow.;Pojemniki/worki na odpady
"temat: podstawienie kontenera
zarzadca: amd zarzadca nieruchomosci - dulemba sp.j
opis miejsca: wspolnota mieszkaniowa sloneczne stablowice 2
ul. jodlowicka 10,12,14,16
opis: prosimy o podstawienie kontenera na odpady wielkogabarytowe w terminie od 29-03-2018 r. w okolicy wiaty smietnikowej przy ul jodlowickiej 10,12,14,16.
prosze o informacje czy istnieje taka mozliwosc?";Strefa Zarzadcy
"temat: podstawienie kontenera
zarzadca: egendom sp. z o.o.
opis miejsca: na miejscu postojowym na parkingu
opis: podstawienie pojemnika na odpady";Strefa Zarzadcy
"temat: objazdowy system odbioru odpadow wielkogabarytowych
zarzadca: sm wroclaw - poludnie osiedle ii  dorota-barbaraâ€ť
opis miejsca: przy oslonie smietnikowej
opis: przy oslonie smietnikowej";Strefa Zarzadcy
"temat: podstawienie kontenera
zarzadca: zgloszenie za posrednictwem rady osiedla biskupin-sepolno-dabie-bartoszowice
opis miejsca: pomiedzy ulicami kotsisa i stanislawskiego obok smietnikow
opis: prosba o podstawienie kontenera na odpady zielone, miejsce podstawienia - obok kontenerow na smieci pomiedzy ulicami kotsisa i stanislawskiego w pierwszym wolnym terminie.";Strefa Zarzadcy
brak odbioru odpadow zgodnego z harmonogramem, ktory mial odbyc sie dnia 13.03 na ul. krzycka 41 i 43. do odbioru wystawione sa cztery worki. sprawa jest pilna, sytuacja braku odbioru powtarza sie systematyczne. prosze o realizacje zgloszenia w dniu dzisiejszym.;Wywoz odpadow
"temat: podstawienie kontenera
zarzadca: sm agromet
opis miejsca: osiedle ul. wankowicza 50-64 na kopercie kolo plotu wjazd w lewo  po lewej stornie
opis: kontener";Strefa Zarzadcy
zgloszenie dotyczy dostarczenia 1500 sztuk workow na odpady zielone ul.kamienskiego 7 rod rozanka pan prosi o kontakt telefoniczny pod nr tel 607648399  jan kalkowski.;Pojemniki/worki na odpady
"temat: podstawienie kontenera
zarzadca: atena&hjw sp. z o.o
opis miejsca: prosze o podstawienie kontenera na odpady wielkogabarytowe we wnetrzu podworzowym przy klatce wiosenna 14 lub 16
opis: prosze o podstawienie kontenera na odpady wielkogabarytowe we wnetrzu podworzowym przy klatce wiosenna 14 lub 16";Strefa Zarzadcy
"temat: inne
opis miejsca: wnetrze podworzowe ul. hubska 82-82 a
opis: zabranie galezi z wnetrza podworzowego ul. hubska 82-82a";Sprzatanie miasta
"temat: zamien pojemnik na worek
odpady: odpady ze szkla
pojemniki: worek 120l
opis: prosze o zabranie pojemnika 120l na szklo, zbieram szklo do workow";Pojemniki/worki na odpady
"zglaszajacy : mpk
telefon :
telefon komorkowy :
mail :

data  zgloszenia : 17:15:06,2018.03.17
kategoria : inne
podkategoria : inne
 
ulica : zawalna ul.
lokalizacja : ul. zawalna, przystanek karlowice23011, 23012
opis :
nieodsniezone przystanki
godz. 16:56 zgloszenie przekazano do wpo alba , odebral dyspozytor./jp
fwd: #@146831#@ akcja zima/zawalna- przystanki - nr zgloszenia";Akcja zima
na skrzyzowaniu magellana i vasco da gamy zalega na ulicy bloto prosza o posprzatanie ;Sprzatanie miasta
"akcja zima

zglaszajacy : cpr-81
telefon :
telefon komorkowy :
mail :

data  zgloszenia : 17:50:22,2018.03.18
kategoria : inne
podkategoria : inne
 
ulica : chorzowska ul.
lokalizacja : ul. chorzowska, na calej dlugosci
opis :
oblodzenie chodnika na calym odcinku

zgloszenie przekazano g. 17:51 do fbserwis, p. zaryczny /jp
fwd: #@146855#@ akcja zima ul.chorzowska- oblodzenie chodnika - nr zgloszenia";Akcja zima
prosze o zamiane pojemnika na worki papier i tektura na ul. slezanska 25. prosze o realizacje zgloszenia i dostarczenie 30 sztuk workow.;Pojemniki/worki na odpady
"temat: brak podstawienia kontenera
zarzadca: domus sp.z o.o.
opis miejsca: podstawiony kontener mial byc podstawiony 14.03.2018, ale niestety nikogo nie bylo
opis: prosze o ponowne podstawienie kontenera na choinki lub zabranie bezposrednio tych choinek na przyjazni 6a-6d";Strefa Zarzadcy
"temat: inne
opis miejsca: dotyczy oslony smietnikowej pl. staszica 19
opis: dzien dobry,
chcialbym zglosic problem zaniedbywania swoich obowiazkow przez pracownikow panstwa podwykonawcy (wpo alba). juz opisuje o co chodzi. otoz zgodnie z harmonogramem z oslony pl. staszica 19 odpady zmieszane powinny byc odbierane rowniez w soboty. z tym, ze pewna ekipa podwykonawcy ktora powinna odbierac odpady w soboty owszem podjezdza w sobote pod ta oslone smietnikowa ale nie realizuje odbioru a jedynie przestawia pojemniki tak, ze te zapelnione wedruja dalej od wejscia do oslony a tej mniej zapelnione sa przestawione blizej wejscia. taka sytuacja trwa juz od jakiegos czasu srednio co dwa tygodnie w soboty (tak jakby ta sama ekipa pracownikow wpo alba robila zawsze to samo). powoduje to ze juz w niedziele pojemniki na odpady zmieszane sa zapelnione a do poniedzialku nadmiary w duzej ilosci leza juz na podlozu oslony. tak tez bylo w ostatnia sobote 17.03.2018 a juz w niedziele 18.03.2018 nie bylo miejsca w pojemnikach na odpady zmieszane. w poniedzialek 19.03.2018 nadmiary lezaly na podlozu oslony. kolejny odbior odpadow zmieszanych nastapil w poniedzialek 19.03.2018 okolo godziny 16. oczywiscie lezace na podlozu nadmiary w duzej ilosci nie zostaly zabrane i czekaly na posprzatanie do wtorku 20.03.2018. a to wszystko wynika z niewykonania jak nalezy odbioru odpadow w sobote. 
z gory dziekuje za podjecie dzialan polegajacych na zwroceniu uwagi podwykonawcy aby jego pracownicy w soboty oprozniali pojemniki a nie tylko je przestawiali.
z powazaniem
zbigniew wrobel";Inne
"temat: brak odbioru odpadow zgodnie z harmonogramem
odpady: tworzywa sztuczne, metale, opakowania wielomaterialowe
pojemniki: worki
opis: brak odbioru tworzywa w dniu 16.03.2018 na calej ul.buraczanej chyba od 26 do konca";Wywoz odpadow
"temat: brak worka na odpady
odpady: odpady zielone
pojemniki: worek 120l
opis: dzien dobry. jak co roku potrzebujemy worki na zielone odpady dla dzialkowcow stowarzyszenia ogrodowego rod wytchnienie. tym razem prosze przywiezc 3000 workow na zielone odpady do naszego ogrodu. odbior jest mozliwy jedynie w czwartek w godzinach 16:00 - 17:00, bo tylko w ten dzien w tych godzinach urzedujemy w prawie nieogrzanym budynku. ewentualnie moge byc o 15:00, ale musze byc o tym uprzedzony 3 godziny wczesniej, zebym zdazyl dojechac . niestety nie udalo sie do panstwa dodzwonic, dlatego prosbe o worki przekazuje pisemnie. w razie potrzeby prosze o kontakt pod numerem 739 000 127. pozdrawiam.prezes rod wytchnienie marcin moskot.";Strefa Zarzadcy
prosza o natychmiastowy odbior odpadow zielonych + 10 workow na odpady zielone ;Wywoz odpadow
"zglaszajacy : obywatel
telefon :
telefon komorkowy :
mail :

data  zgloszenia : 08:55:59,2018.03.19
kategoria : inne
podkategoria : inne
 
ulica : nowy targ pl.
lokalizacja : pl. nowy targ
opis : w zwiazku z zamknieciem ul. jodlowej.
mieszkaniec zglasza problem, ze firma sprzatajaca zrobila sobie na placu sklad materialow do odsniezania wjezdza ciezkim sprzetem.";Akcja zima
"temat: podstawienie kontenera
zarzadca: p.b.budotex sp. z o.o.
opis miejsca: prosze o podstawienie kontenera wielogabarytowego przy komorze smietnikowej lub na miejscu postojowym przy ul. oltaszynskiej 92g, wedlug zalaczonego rysunku
opis: jako zarzadca nieruchomosci przy ul. oltaszynskiej 92a-g na prosbe naszych mieszkancow chcielibysmy zglosic zapotrzebowanie na wpisanie naszej nieruchomosci do cyklicznego (np. co 2 miesiace) podstawiania kontenera wielogabarytowego wedlug podanego umiejscowienia i rysunku.";Strefa Zarzadcy
w dniu 17-03-2018 ekipa odbierajaca, oprozniajaca pojemniki z makulatury do polowy zabrala odpady, pani prosi o przeprowadzenie rozmowy z pracownikami aby oprozniali wszystko co znajduje sie w pojemniku. pani prosi o odbior makulatury (to co zostalo nie zabrane w sobote 17-03-2018) a wczesniej prosi o tel. 605-319-849 (dzien wczesniej) z uwagi na wyprowadzenie pojemnika przed brame posesji.;Wywoz odpadow
prosi o pojemni na odpady plastykowe 120l, przy dzisiejszym wywozie zaginal pojemnik ;Pojemniki/worki na odpady
"temat: podstawienie kontenera
zarzadca: s m komunalnik
opis miejsca: na chodniku leczycka przy klatce schodowej nr 1
opis: podstawienie 2 sztuk kontenerow w celu wyniesienia gabarytow z piwnicy , klatek schodowych i z mieszkan.";Strefa Zarzadcy
"temat: brak worka na odpady
odpady: odpady zielone
pojemniki: worek 120l
opis: zglaszam brak odbioru odpadow zielonych na ulicach, kasztanowa, jaworowa, lipowa. prosze o interwencje.";Pojemniki/worki na odpady
mieszkaniec prosi o natychmiastowe odebranie odpadow zielonych od poniedzialku nie odebrane zgodnie z harmonogramem;Wywoz odpadow
"zglaszajacy : nowakowski
telefon : wew. 242
telefon komorkowy : 696494918
mail : wnowakowski@zdium.wroc.pl

data  zgloszenia : 14:23:49,2018.03.22
kategoria : inne
podkategoria : inne
 
ulica : katedralny pl.
lokalizacja : pl. katedralny 11/12 - chodnik
opis : wyrwany kosz na smieci  . ";Sprzatanie miasta
"temat: zmiana wielkosci pojemnika
odpady: papier i tektura
pojemniki: pojemnik 660l
opis: prosze o zmiane wielkosci pojemnika - ul. witkowska 1-9 we wroclawiu.";Pojemniki/worki na odpady
od trzech tygodni brak odbioru odpadow zielonych z ul.olszewskiego 12. do odbioru wystawionych jest okolo 30 sztuk workow. sprawa jest pilna prosze o realizacja zgloszenia w dniu dzisiejszym.;Wywoz odpadow
podczas odbioru tworzyw sztucznych dnia 22.03 zostala pominieta nieruchomosc przy ul. starogajowej 60. prosze o realizacje zgloszenia w dniu dzisiejszym.;Wywoz odpadow
"temat: tereny zewnetrzne - inne
dzielnica: fabryczna
opis miejsca: teren zielony pomiedzy rzeka lugowina a budynkiem mieszkalnym zlokalizowanym na skrzyzowaniu ulic augustowskiej i suwalskiej - zalacznik (lokalizacja odpadow zaznaczona czerwonym okregiem)
opis: na terenie zielonym znajduja sie odpady pobudowalne, ktorymi sa plastikowe i zbrojone rury. w zalaczniku zdjecie odpadow.";Sprzatanie miasta
"kategoria: mobi, dzikie wysypisko
osoba zglaszajaca: mieszkaniec anonimowy
ulica: nadbrzezna 6
zgloszenie: z-5832256-w0l7m0";Sprzatanie miasta
pan zglasza, ze od 4 miesiecy nie ma odbioru odpadow zielonych. worki leza i nikt ich nie zabiera. monte cassino 13a/1;Wywoz odpadow
"temat: przepelnienie pojemnika
odpady: papier i tektura
pojemniki: pojemniki/dzwony do zbiorki selektywnej
opis: pojemniki na papiery sa przepelnione. z racji wprowadzek wielu ludzi bardzo duzo odpadow papierowych jest wyrzucanych. wydaje sie, ze jest zbyt malo pojemnikow tej kategorii. pojemniki na plastiki tez wydaja sie byc czesto przepelnione.";Wywoz odpadow
"zgloszenie wplynelo 27 marca
zglaszajacy : straz pozarna
telefon :
telefon komorkowy :
mail :

data  zgloszenia : 13:23:17,2018.03.11
kategoria : inne
podkategoria : zanieczyszczenie nawierzchni
 
ulica : kasprowicza jana al.
lokalizacja : ul. kasprowicza, okolice kosciola, pas drogowy
opis :
zgloszono sprzatanie pasa drogowego po kolizji trzech pojazdow.
11.03.2018r. godz. 13:20 powiadomiono wpo alba, pan koczanski. (zk)
w momencie kontroli w dniu 12.03.2018r. brak opisanych odpadow na wskazanej lokalizacji (zal. fot.). (lb)
fwd: #@146452#@ ul. kasprowicza - kolizja, sprzatanie - nr zgloszenia";Sprzatanie miasta
prosi o 20 szt workow na odpady zielone ;Pojemniki/worki na odpady
"osoba zglaszajaca prosi o posprzatanie terenu wm/ ul. wesola 38 - 48 z odpadow gabarytowych (np. deski) mieszczacych sie przy ul. wesolej na wysokosci 40 - 42 oraz od strony podworka za smietnikiem (wjazd na podworze od ul. glinianej lub lodzkiej).
pani prosi o posprzatanie ww. terenu do zblizajacych sie swiat oraz o kontakt tel. w tej sprawie 513-80-133.";Sprzatanie miasta
"temat: brak pojemnika na odpady
odpady: zmieszane odpady komunalne
pojemniki: pojemnik 240l
opis: witam,
zwracam sie do panstwa z pytaniem dotyczacym zapewnienia wywozu odpadow z posesji. 
firma miesci sie na wynajmowanym terenie. jestesmy firma z centrala znajdujaca sie w warszawie, we wroclawiu miesci sie oddzial.
prosze o informacje jakie dokumenty powinnismy dostarczyc do panstwa, celem zapewnienia wywozu smieci z terenu posesji, a takze czy zapewniaja panstwo kontener czy jest to opcja we wlasnym zakresie.
dziekuje oraz pozdrawiam";Pojemniki/worki na odpady
"temat: inne
opis miejsca: ul. hubska 107a - we wnetrzu podworkowym
opis: prosze o podstawienie kontenera na gabaryty we wenetrzu podworkowym przy ul. hubskiej 107a";Strefa Zarzadcy
"brak odbioru odpadow zielonych w dniach 12, 19 oraz 26 marca 2018 roku.
pan prosi o natychmiastowy odbior workow, wystawione sa na zewnatrz przed brame posesji- obok boksu smietnikowego (od ponad 3 tygodni).
prosze o dostarczenie workow brazowych w ilosci workow odebranych.";Wywoz odpadow
"zglaszajacy : blazej grodecki
telefon : wew. 286
telefon komorkowy :
mail :

data  zgloszenia : 09:07:27,2018.03.28
kategoria : drogi
podkategoria : roboty brukarskie
 
ulica : szajnochy karola ul.
lokalizacja : szajnochy, przy skrzyzowaniu z ul. gepperta, chodnik.
opis : uszkodzony kosz na odpady.
fwd: #@147349#@ szajnochy/gepperta - kosz. - nr zgloszenia";Sprzatanie miasta
"temat: podstawienie kontenera
zarzadca: spoldzielnia mieszkaniowa im. jana iii sobieskiego
opis miejsca: placyk w poblizu pawilonu handlowego biedronka i budynku mieszkalnego ul. wilanowska 11-23
opis: kontynuacja prac pielegnacyjnych drzewostanu. prosimy o ustawienie kontenera tak jak w zgloszeniu e-mail spoldzielni, na dzien 4.04.br.";Strefa Zarzadcy
"temat: podstawienie kontenera
zarzadca: alba
opis miejsca: kontenery stojace kolo skrszyzowania ul. mianowskiego i al. jana kochanowskiego
opis: bardzo mi przykro ale zapelnione kontenery zostaly zabrane i podstawione nowe ale to co sie dzieje dookola nie wyglada profesjonalnie. smieci porozrzucane dookola kontenerow - kontenery stoja puste a dookola masakra. rozumiem ze kierowca nie ma w obowiazku odbierac ponad norme ale skoro alba podstawia nowe kontenery to minimum wysilku kosztuje wsadzenie smieci do srodka. wiekszosc smieci obecnie lezaca na ziemi zostala zrzucona przez kierowce z kontenerow a nie zostawione przez ludzi wyrzucajacych odpady.";Strefa Zarzadcy
"wlasciciel nieruchomosci prosi o dostarczenie workow zielonych na szklo- 20 szt. oraz zoltych na tworzywa sztuczne- 20 szt. dla nieruchomosci saperow 36 (krzyki, borek).
jezeli jest taka mozliwosc dostarczenia tych workow w dniu jutrzejszym, tej. 30-03-2018 w trakcie odbierania odpadow szklanych (klient prosi o wrzucenie workow w glab posesji)- dziekuje.";Pojemniki/worki na odpady
"temat: brak odbioru odpadow zgodnie z harmonogramem
odpady: papier i tektura
pojemniki: pojemniki/dzwony do zbiorki selektywnej
opis: hallera 65 papier";Wywoz odpadow
"temat: brak odbioru kontenera
zarzadca: ekosystem
opis miejsca: cala ulica
opis: na calej dlugosci ulicy nie zostaly odebrane wczoraj worki z odpadami zielonymi. pod moim plotem na odbior czekaja 4 worki.";Strefa Zarzadcy
"temat: brak worka na odpady
odpady: tworzywa sztuczne, metale, opakowania wielomaterialowe
pojemniki: worek 120l
opis: 1150  szt.";Pojemniki/worki na odpady
prosba zarzadcy  fontiso zabranie pojemnika na odpady wielkogabarytowe, ktory jest juz przepelniany i mieszkancy zaczynaja wystawiac odpady obok kontenera ul.  belwederczykow 20. prosze o realizacje zgloszenia w dniu dzisiejszym.;Strefa Zarzadcy
"temat: inne
opis: skladam skarge na jakosc wykonywania uslugi wywozu plastikowych odpadow przez firme chemeko-system. w moim rozumieniu podpisalem z wami umowe na profesjonalny wywoz odpadow, niestety nie wywiazujecie sie z umowy. prosze zobaczyc jak w dniu 28.03 zostala wykonana usluga wywozu plastikowych odpadow ( zdj. w zal.). pracownik otworzyl moj boks, wyciagnal pojemnik na odpady plastikowe, oproznil go ( monitoring wykazal, ze z moim pojemnikiem polecial do sasiada i tam go dopiero oproznil - a dlaczego tak zrobil to opisze za chwile),a nastepnie porzucil go niechlujnie (jak widac na zdj.), nie chowajac go i nie zamykajac po sobie mojego boksu. w zwiazku z tym domagam sie rekompensaty za to, ze musze poprawic po takiej usludze.
dlaczego polecial z pojemnikiem do sasiada? poniewaz, tylko ja mam w okolicy pojemnik na odpady plastikowe, nie chce mu sie zatrzymywac samochodu kolo pojemnika, tylko staje byle gdzie i znosi worki. w zeszlych tygodniach monitoring wykazal, jeszcze  lepszaâ€ť metode. pracownik chemeko wyciagnal moj pojemnik na chodnik i tam go zostawil, nastepnie z okolicy na moj chodnik poznosil wszystkie smieci plastikowe od sasiadow. po pewnym czasie przyjechala smieciarka i smieci zostaly zabrane - nie zycze sobie takiej sytuacji, zeby przed moim domem robione bylo skladowisko odpadow !
rozgoryczenie jest, bo przez dlugi czas byl problem z wykonywana przez chemeko usluga, poniewaz nie moglem sie doprosic, zeby nowe worki wkladali w plot , woleli wrzucac je na brudna ziemie. tylko dlatego poprosilem o pojemnik na plastiki, zebym mial z tym spokoj. to teraz robia mi burdel przez domem, bo nie chce sie im wiecej razy samochodu zatrzymywac, nie chowaja pojemnika, nie zamykaja po sobie bramek, itd. taka wspolpraca z wami jest niedopuszczalna . dlatego zadam zwrotu oplaty za wywoz w miesiacu marcu. 
dostalem standardowa odpowiedz na zgloszenie skargi od chemeko-system:
dzien dobry.
uprzejmie informujemy, iz z naszymi pracownikami zostala przeprowadzona rozmowa dyscyplinujaca.
wierzymy , ze ponizsza sytuacja nie bedzie miala miejsca. za powstale utrudnienia serdecznie przepraszamy.
pozdrawiam
monika kusicielek
specjalista ds. obslugi klienta
to sa juz kolejne przeprosiny i dalej jest taki sam marny poziom uslug tej firmy. od teraz bede prosil za kazdym razem o zwrot zaplaconych pieniedzy, jesli bedzie wystepowal nieprofesjonalny wywoz odpadow plastikowych czy innych. pani monika kusicielek z chemeko odeslala mnie do panstwa, w celu zalatwienia tej sprawy.";Inne
w dniu dzisiejszym byl odbior odpadow zmieszanych na ul. radzionkowskiej, ale nieruchomosc radzionkowska 28 zostala omylkowo pominieta.prosze o odbior odpadow zmieszanych w dniu dzisiejszym.;Wywoz odpadow
"temat: podstawienie kontenera
zarzadca: osiedle muchobor maly
opis miejsca: na terenie sp 28, miejsce wskaze pracownik, cel wywiezienie odpadow gabarytowych (meble)
opis: na terenie sp 28, miejsce wskaze pracownik, cel wywiezienie odpadow gabarytowych (meble)";Strefa Zarzadcy
zgloszenie dotyczy wymiany pojemnika na odpady zmieszane z pojemnosci 120l na 240l ul. wolfkego 5/1;Pojemniki/worki na odpady
"temat: podstawienie kontenera
zarzadca: msm energetyk
opis miejsca: podstawienie dodatkowego pojemnika na odpady wielkogabarytowe przy oslonie smietnikowej gajowicka 200 - prosba na zyczenie mieszkanca by podstawic. w rozmowie telefonicznej ustalono termin dodatkowego podstawienia na dzien 09.04.2018
opis: podstawienie dodatkowego pojemnika na odpady wielkogabarytowe przy oslonie smietnikowej gajowicka 200 - prosba na zyczenie mieszkanca by podstawic. w rozmowie telefonicznej ustalono termin dodatkowego podstawienia na dzien 09.04.2018";Strefa Zarzadcy
"identyfikator: 026401_1.0037.ar_3.6/25 
adres: strzegomska 
obreb: muchobor maly
arkusz: ar_3
powierzchnia: 0.9018
odpadki komunalne z prosba o ich usuniecie ";Sprzatanie miasta
"temat: brak odbioru odpadow zgodnie z harmonogramem
odpady: zmieszane odpady komunalne
pojemniki: pojemniki 10 m3
opis: otrzymalismy zgloszenie ze nie zostaly wywiezione zmieszane odpady komunalne. sa rozrzucone przy smietnikach. prosimy o odebranie odpadow zgodnie z harmonogramem";Wywoz odpadow
"temat: zmiana wielkosci pojemnika
odpady: papier i tektura
pojemniki: pojemnik120l
opis: papier i tektura wywozone sa u nas raz na 2 tygodnie. w zwiazku z tym ze dokladnie segregujemy odpady pojemnik na papier mamy zawsze zapelniony juz po tygodniu. 
wnosze o wymiane pojemnika na 240 litrow.
dodatkowo informuje ze nie rozumiem dlaczego otrzymalismy pojemniki na szklo o poj. 120l ktore wywozone sa raz w tygodniu. w przypadku szkla nie moge zapelnic nawet dna pojemnika. w rozmowie z sasiadami slysze rowniez ze to pojemniki z papierem powinny byc oprozniane raz w tygodniu a szklo raz na dwa tygodnie jest az nadto.";Pojemniki/worki na odpady
"w nawiazaniu do zgloszenia nr id 15959 z dn. 27-03-2018 wlasciciel nieruchomosci zglasza brak odbioru do dnia dzisiejszego papieru i makulatury - pojemnik jest juz przepelniony.
prosze o natychmiastowy odbior makulatury z ul. polabian 50 (krzyki, klecina).";Wywoz odpadow
"fwd: #@147584#@ ul. klimasa - chodnik, trawa - nr zgloszenia
zglaszajacy : tomasz myszko
telefon :
telefon komorkowy :
mail : tomaszmyszko@gmail.com

data  zgloszenia : 11:36:13,2018.04.03
kategoria : inne
podkategoria : inne
 
ulica : klimasa ks. czeslawa ul.
lokalizacja : ul. klimasa, od ul. bogedaina do ul. miedzyleskiej, strona lewa
opis :

dzien dobry,
zwracam sie z prosba o przywrocenie funkcjonalnosci chodnika znajdujacego sie przy ul klimasa pomiedzy bogedaina, a miedzyleska (dokladna lokalizacja zaznaczona w zalaczniku). teren ten znajduje sie pod panstwa zarzadem.
chodnik pokrywa warstwa ziemi, porosniety zostal trawa i nie spelnia on swojej funkcji. zwracam sie z prosba o jego odkopanie i przywrocenie do stanu mozliwego uzytkowania. jest to istotne szczegolnie w kontekscie powstajacego dzieki srodkom z wbo chodnika wzdluz ul bogedaina (inwestycja realizowana przez spolke wroclawskie inwestycje).
pozdrawiam serdecznie,
tomasz myszko
tel. 691 306 882";Sprzatanie miasta
wlasciciel nieruchomosci traktatowa 4 oraz 4a prosza o zabranie workow z tworzywami. od ponad 3 tygodni nikt nie zabieral odpadow. worki leza przed posesjami traktatowa 4 oraz 4a.;Wywoz odpadow
"rod prosi o dostarczenie workow brazowych do domu dzialkowca- na wysokosci ul. kamienskiego nr 108 (tak jak w latach ubieglych) w ilosci 1000 szt.
pan prosi o wczesniejszy kontakt tel. 509-752-436 z uwagi na obecnosc przy odbiorze workow (1 dzien wczesniej), dziekuje.";Pojemniki/worki na odpady
"w dniu 04-04-2018 brak odbioru tworzyw sztucznych z ul. rejonowa 20
pan prosi o pilny odbior.";Wywoz odpadow
"dzien dobry,
prosze o podstawienie kontenera na odpady wielkogabarytowe dla wspolnoty mieszkaniowej przy ul. nulla 6. miejsce podstawienia - przed klatka schodowa (wjazd pomiedzy budynkami 4 a 6). data podstawienia - 20.04.2018 r. piatek.
jednoczesnie informuje, ze formularz zgloszeniowy na stronie w strefie zarzadcy jest czesciowo nieaktywny - brak mozliwosci wyboru ulicy i numeru.
z powazaniem,
przemyslaw witczak,
tel. 602 642 243.";Strefa Zarzadcy
"temat: podstawienie kontenera
zarzadca: smwojewodzianka
opis miejsca: kamienna 29 kolo komory zsypowej
opis: do zabrania galezie i worki z liscmi. kontener ok.5m3- potrzebny na 10.04.2018r. 8.00.bardzo prosze o potwierdzenie podstawienia kontenera.";Strefa Zarzadcy
"dzien dobry,
 prosze o podstawienie kontenera na odpady zielone na osiedle przy ul wojaczka, kontener prosze ustawic na parkingu za budynkiem nr 15. prosze o jak najszybsze ustawienie pojemnika 
 
";Strefa Zarzadcy
prosze o dostarczenie pojemnika zoltego na tworzywa sztuczne o pojemnosci 240 l oraz dostarczenie workow na odpady zielone- 10 szt. (1 rolka)- ul. maslicka 193-195 (fabryczna, maslice).;Pojemniki/worki na odpady
